name|latitude|longitude
신애보육원|35.8558869|128.587132
장애인보호작업장|35.84172005|128.6038296
비산4동주민센터|35.8361751|128.5837978
평리2동주민센터|35.8583489|128.5771776
보건소|35.84503658|128.5879741
노인복지관|35.8450317|128.6032686
북부정류장|35.8367855|128.5577515
구민건강증진센터|35.8502825|128.5731304
보건복지회|35.8882513|128.5632503
서대구우체국|35.8417075|128.5982576
평리5동우체국|35.845792|128.5977724
서구청민원실|35.8439533|128.5979457
농협두류점|35.8459643|128.569528
내당역|35.845792|128.5977724
비산5동|35.8367855|128.5577515
농협원대동|35.8356279|128.5580035
대구의료원|35.844601|128.5883363
서부도서관|35.85496884|128.5893078
신평리시장|35.8313155|128.5770017
원대신시장|35.83725432|128.5790384
서구시장|35.8365922|128.5748682
청소년수련관|35.8537053|128.599446
북부정류장|35.8589532|128.5517595
서구문화회관|35.8758308|128.5747396
서구청소년수련관|35.8811578|128.5690168
서구어린이도서관|35.8763083|128.5691039
중리동우체국|35.8756065|128.5632981
서부도서관|35.8673581|128.5568295
평리3동우체국|35.8679313|128.5442553
서구청|35.8645979|128.5716777
원고개시장|35.8722558|128.5576101
종합자원봉사센터|35.8854506|128.5747371
서구문화회관|35.873636|128.5457716
종합사회복지관|35.8802417|128.5515051
제일종합사회복지관|35.8698013|128.5743007
원대시장|35.8718022|128.5592204
대평리시장|35.8842282|128.5552275
중평시장|35.8607456|128.5514497
소망모자원|35.8718022|128.5592204
대구북부고용센터|35.8702972|128.5478372
방촌동주민센터|35.8724248|128.7024201
안심1동행정복지센터|35.8717286|128.629306
도평동주민센터|35.8811506|128.6152753
공산동주민센터|35.8710897|128.624959
방촌현대시장|35.872829|128.6248342
효목시장|35.8746811|128.6248621
반야월종합시장|35.8810648|128.6513905
해안동행정복지센터|35.8802662|128.6525524
신천4동주민센터|35.8829231|128.6492549
평화시장|35.8755605|128.6290639
동대구로|35.8723103|128.6290703
동대구로|35.88095084|128.7341237
동대구로|35.8722298|128.5747977
동대구로|35.8722732|128.5455773
동대구로|35.885748|128.5788694
동대구로|35.878009|128.5589495
동대구로|35.8653967|128.5539313
동촌유원지|35.858787|128.5567374
동촌유원지|35.8722732|128.5455773
동촌유원지|35.8743119|128.5463842
동촌유원지|35.8722558|128.5576101
동촌유원지|35.8718022|128.5592204
터미널먹거리촌|35.8668266|128.555208
터미널먹거리촌|35.8696202|128.5488325
터미널먹거리촌|35.8595566|128.561413
동대구역 광장|35.8885948|128.5683954
혁신도시 중앙공원|35.8596025|128.5405922
효목2동행정복지센터|35.9400873|128.6441372
